,MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,RunTime,Overview
191,Maragatha Nananya,Adventure,7.0,Ark Saravan,Aadhi,"1,144",2017,150,A young man races to find a legendary treasure which causes him many troubles.
192,Uru,Thriller,5.9,See full summary,Vicky Anand,275,2017,111,"The story revolves around a writer who becomes outdated due to changing trends. He decides to leave for Megamalai to find solitude and write a new book. Upon arrival to Megamalai, ...                See full summary »"
193,Peechaankai,Comedy,6.5,Ashok,Rskarthiik,53,2017,126,A pickpocket is stricken with a rare condition which affects the very tools of his trade - his hands. And so ensues a series of mishaps due to AHS - a condition in which his hand is beyond his control and appears to have a mind of its own.
194,Rangoon,Action,7.1,Rajkumar Periasamy,Gautham Karthik,560,2017,126,A story about three friends dealing illegal gold trafficking in India and when they think everything is going smoothly their life takes a u-turn when a business deal goes wrong in Rangoon
195,Sathriyan,Action,4.8,Vikram Prabhu,Manjima Mohan,,2017,156,"Guna is local thug who is serious about the gangster life. When love enters his life, Guna is not ready to give up on love so he decides to reform his ways and settle down in the family life."
196,Bongu,Crime,5.3,Taj,Pooja Bisht,93,2017,124,Three ex-salesman plan the ultimate car heist.
197,Oru Kidayin Karunai Manu,Drama,7.7,See full summary,Suresh Sangaiah,276,2017,121,"The newlywed Ramamoorthy and his clan are headed on a truck to their family deity's temple for a goat sacrifice ceremony. On the remote thoroughfare they encounter an accident, and a local ...                See full summary »"
198,Oru Iyakkunarin Kadhal Diary,Drama,6.4,Add a Plot,Velu Prabhakaran,,2017,162,Add a Plot
199,7 Naatkal,Thriller,4.4,Gautham V.R.,M.S. Bhaskar,,2017,132,Story of a good hearted businessman and his spoiled son.
200,Thondan,Crime,6.0,Samuthirakani,Arthana Binu,242,2017,138,"Vishnu and Xavier are two individuals who work at a medical facility organization called ""UYIR""."
201,Brindavanam,Drama,6.8,Radha Mohan,Arulnithi,,2017,170,"A hearing and speech impaired barber in Ooty meets his idol, actor Vivekh. A poignant friendship develops between the two."
202,Inayathalam,Drama,2.9,See full summary,Shankar-Suresh,,2017,121,"The plot involves an anonymous website streaming murders live. The cybercrime officers handling the case, Ganesh(Ganesh Venkatram), Helen(Shwetha Menon) and Ganapathy(Erode Mahesh), are at ...                See full summary »"
203,Sangili Bungili Kadhava Thorae,Comedy,5.3,Ike,Nivas Adithan,,2017,140,"A young man who vows to buy a mansion of his own, moves his extended family into it without knowing that it is haunted."
204,Yeidhavan,Action,6.0,Sakthi Rajasekaran,Sandra Amy,,2017,133,Krishna fights to avenge his sister's death and the future of medical students in this action-packed thriller.
205,Saravanan Irukka Bayamaen,Action,2.9,Ezhil,Karai Natrajan,159,2017,117,"Saravanan, a lackadaisical man, finds his life turned upside down when he is accidentally made the local head of a political party. Later, he shamelessly uses his status to woo the girl he loves."
206,Enga Amma Rani,Action,6.1,S. Bani,Dhansika,,2017,172,"When one of her daughters dies and the second one is diagnosed with the same illness, single mom in Malaysia takes her to a hill station, where the girl stars behaving mysteriously."
207,Baahubali 2: The Conclusion,Action,8.2,S.S. Rajamouli,Prabhas,"71,418",2017,167,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
208,Nagarvalam,Drama,5.8,Marxx,Yogi Babu,,2017,129,"The driver of a Metro water lorry and a girl in the locality he supplies water to fall in love. But will the girl's family, which has powerful connections, agree to this match?"
209,Sathya,Action,2.7,Deepan,Roma Asrani,110,2017,118,"The protagonist from Kerala who goes to Pondicherry and becomes very successful in life by gambling. However, he also makes enemies because of this. The story further progresses through the various incidents that happen due to gambling."
210,Kadamban - Taqatwar,Action,5.4,N. Ragavan,Arya,363,2017,142,The lives of people living in traditional ways in the South Indian jungle are depicted in this movie.
211,Sivalinga - Kanchana Returns,Horror,4.7,P. Vasu,Bhanupriya,361,2017,156,A detective with some unusual qualities investigates a murder.
212,Power Paandi,Action,7.6,Dhanush,Dhanush,"1,179",2017,130,A 65 years old man starting a journey to find his first love who broke up 40 years ago.
213,8 Thottakkal,Action,7.6,Sri Ganesh,Vetri,"1,394",2017,145,"A depressed and loyal policeman loses his gun to a killer, who kills people due the circumstances of his life."
214,Kaatru Veliyidai,Romance,5.9,Mani Ratnam,Karthi,"1,669",2017,146,"Set during the Kargil War, fighter pilot Varun recalls his romance with Leela while being held prisoner in Pakistan."
215,Dora,Action,5.3,Dass Ramasamy,Nayanthara,701,2017,139,A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.
216,Kavan,Action,7.1,K.V. Anand,Vijay Sethupathi,"1,853",2017,150,A TV journalist goes against his corrupt and dishonest boss's orders and helps a group of youngsters in their fight against a chemical plant.
217,Kadugu,Drama,7.5,Vijay Milton,Radhika Prasidhha,482,2017,115,A man goes up against corrupt and powerful people to avenge the crime committed against a child.
218,Paambhu Sattai,Action,6.2,Adam Dasan,Bobby Simha,125,2017,140,A young man in need of cash to solve his personal problems gets into a tangle with a counterfeit money laundering racket.
219,Dhayam,Thriller,4.6,Kannan Rangaswamy,Aira Agarval,,2017,145,An interview in a room with 8 people. Only one will walking out of the room after one hour and he will be the ceo of the company.
220,Vaigai Express,Thriller,4.6,See full summary,Shaji Kailas,23,2017,122,"Three girls, Yamini, Tulasi Mani and Radhika, are found killed in a train journey. Sharafudeen Rahman (RK), from RACT (Railway Anti Criminal Task force), takes up the case and starts the ...                See full summary »"
221,Julieum 4 Perum,Family,3.4,Satheesh,Amudhavaanan,7,2017,137,The movie central theme is based on international dog napping and the relationship between humans and dogs.
222,Enkitta Mothathe,Action,5.0,See full summary,Ramu Chellappa,,2017,110,"Enkitta Mothathe (English: Don't mess with me) is a 2017 Indian Tamil film, written and directed by Ramu Chellappa. The film features Natraj, Rajaj, Parvathy Nair and Sanchita Shetty in the...                See full summary »"
223,Bruce Lee,Action,2.4,Prashanth Pandiraj,Anandraj,146,2017,125,A young ne'er-do-well is given a wake-up call when his girlfriend is kidnapped by an evil don.
224,Kattappava Kanom,Comedy,5.1,Mani Seiyon,Yogi Babu,,2017,125,Kattapava Kaanom is a dark comedy - Rom Com with a little fantasy touch
225,Oru Mugathirai,Drama,5.7,R. Senthil Nadan,Chaams,,2017,154,"A psychological thriller that involves psychology, the impact of social networks and more."
226,Maanagaram,Action,8.1,Lokesh Kanagaraj,Sundeep Kishan,"3,350",2017,137,Four youngsters arrive in a big city and their lives become interlinked.
227,Nisabdham,Drama,5.6,Add a Plot,Michael Arun,,2017,126,Add a Plot
228,ACP Shiva,Action,3.3,Sai Ramani,Joy Badlani,352,2017,151,A corrupt cop with a traumatic childhood has a change of heart and treads upon the path of righteousness as he takes on a dangerous criminal and his team.
229,Mupparimanam,Romance,5.5,Adhiroopan,Aari,,2017,141,This story of love and death follows Kathir and Anusha from their school days to their marriage.
230,Yaakkai,Romance,5.6,Kuzhandai Velappan,M.S. Bhaskar,,2017,127,"A hospital administrator dies, and the cop investigating the murder finds that this is just one in a series of grisly crimes."
231,Dhuruvangal Pathinaaru,Action,8.4,Karthick Naren,Rahman,"10,895",2016,105,"A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son."
232,Chennai 600028 Second Innings,Comedy,7.0,Venkat Prabhu,Jai,937,2016,150,"During a trip to Theni for teammate Raghu's wedding engagement, the Chennai Sharks play a cricket match against the local team. However, an unfortunate chain of events threatens to derail the wedding."
233,Achcham Yenbadhu Madamaiyada,Action,6.4,Gautham Vasudev Menon,T.R. Silambarasan,"1,896",2016,135,A youngster embarks on a road trip with the love of his life until an accident causes things to get out of control.
234,Ammani,Drama,7.9,Lakshmi Ramakrishnan,Semmalar Annam,,2016,90,A bond is forged between an aged ragpicker and a younger woman.
235,Aandavan Kattalai,Drama,8.1,M. Manikandan,Vijay Sethupathi,"2,060",2016,151,Gandhi and Pandi decided to get a passport and travel to London to get rid of debts in their village. Things didn't happened has they planned.
