MovieName,Director,Music Director,Genre,Cast,Review,Censorship,Month
Sigaram Thodu (U),Gaurav,Imman D,Action,"Cast: Vikram Prabhu, Monal Gajjar, Sathyaraj , Gaurav Narayanan, K.s. Ravikumar, Kovai Sarala, Sathish 
                                 Drama",60%,(U),Sep
Raj Mohan,Raj Mohan,Yuvan Shankar Raja,Drama,,41%,(U),Sep
Sundar C,Sundar C,Bharadwaj,Comedy,"Cast: Vinay Rai, Hansika Motwani, Andrea Jeremiah, Lakshmi Rai, Santhanam , Nithin Sathya, Kovai Sarala 
                                 Drama",52%,(U/A),Sep
Aadama Jaichomada (U),Badri,Sean Roldan,Comedy,"Cast: Bobby Simha, Karunakaran , Vijayalakshmi Ahathian, Radha Ravi , Balaji Venugopal",47%,(U),Sep
Madras (U/A),Pa Ranjith,Santhosh Narayanan,Action,"Cast: Karthik Sivakumar, Catherine Tresa, Kalaiyarasan, Ritwika",73%,(U/A),Sep
Jeeva (U),Suseendran,Imman D,Sports,"Cast: Vishnu Vishal, Sri Divya, Soori, Charlie",64%,(U),Sep
Ravi K Chandran,Ravi K Chandran,Harris Jayaraj,Love,"Cast: Jiiva Choudry, Thulasi Nair, Nassar , Arjunan, Premji Amaren, Prakash Raj , Thambi Ramaiah 
                                 Drama",33%,(U),Oct
Poojai (U/A),Hari,Yuvan Shankar Raja,Action,"Cast: Vishal Krishna, Shruthi Haasan, Sathyaraj , Soori, Jayaprakash , Mano Bala , Prathap Pothan 
                                 Drama",49%,(U/A),Oct
Kaththi (U),Murugadoss A.r.,Anirudh Ravichander,Social,"Cast: Vijay Chandrasekhar, Samantha Prabhu, Neil Nitin Mukesh, Sathish , Sayaji Shinde, Yuvina Parthavi",70%,(U),Oct
Farah Khan,Farah Khan,Vishal Shekar,Drama,Cast: Shah Rukh Khan,58%,,Oct
Lakshmi Ramakrishnan,Lakshmi Ramakrishnan,Madley Blues,Drama,"Cast: Pia Bajpai, Sruthi Hariharan, Shabeer, Thambi Ramaiah, Bala Saravanan, Thalaivasal Vijay, Viji Chandrasekhar",53%,(U),Oct
Oru Oorula Rendu Raja (U),Kannan R,Imman D,Comedy,"Cast: Vimal , Soori, Priya Anand, Vishakha Singh, Thambi Ramaiah, Nassar , Anupama Kumar",42%,(U),Nov
Jaihind 2 (U/A),Arjun Sarja,Arjun Janya,Action,"Cast: Arjun Sarja, Surveen Chawla, Brahmanandam, Mayilsamy , Mano Bala",43%,(U/A),Nov
Caarthick Raju,Caarthick Raju,Yuvan Shankar Raja,Drama,"Cast: Dinesh , Aishwarya Rajesh, Bala Saravanan, Nithin Sathya, Rajendran, John Vijay",58%,(U),Nov
Naaigal Jaakirathai (U),Shakthi Soundar Rajan,Dharan,Action,"Cast: Sibiraj , Arundhati , Mano Bala , Mayilsamy , Balaji Venugopal",58%,(U),Nov
Jai Krishna,Jai Krishna,N R Raghunathan,Drama,"Cast: Vijay Sethupathi, Krishna Kulasekaran, Sunaina",44%,(U/A),Nov
Kaaviya Thalaivan (U),Vasanthabalan,A.r. Rahman,Drama,"Cast: Siddharth Narayan, Prithviraj Sukumaran, Vedhika Kumar, Nassar , Anaika Soti , Thambi Ramaiah, Ponvannan",65%,(U),Nov
Lingaa (U),Ravikumar K.s.,A.r. Rahman,Action,"Cast: Rajinikanth , Anushka Shetty, Sonakshi Sinha, Jagapati Babu, Santhanam , Karunakaran , Brahmanandam 
                                 Drama",56%,(U),Dec
Pisasu (U/A),Myshkin,Arrol Corelli,Horror,"Cast: Naga , Prayaga, Radha Ravi",67%,(U/A),Dec
Kappal (U),Karthik G Krish,Natarajan Sankaran,Comedy,"Cast: Vaibhav Reddy, Vtv Ganesh, Karunakaran , Sonam Bajwa",50%,(U),Dec
Meagaamann (U/A),Magizh Thirumeni,Thaman,Action,"Cast: Arya , Hansika Motwani, Ashish Vidyarthi, Anupama Kumar",56%,(U/A),Dec
Kayal (U),Prabhu Solomon,Imman D,Drama,"Cast: Anandhi, Vincent, Chandran",62%,(U),Dec
Vellakara Durai (U),Ezhil S,Imman D,Drama,"Cast: Vikram Prabhu,",45%,(U),Dec
Alex Pandian (U),Suraj,Devi Prasad,Action,"Cast: Karthik Sivakumar, Anushka Shetty, Santhanam",27%,(U),Jan
