SNo,Director,MovieName,ReleaseMonth,Genre,Actor,Actress,Comedian,ProductionHouse,Censorship,TargetAudience,CriticRating,HitOrFlop,ViewerRating
34,Maniratnam,Ravan,Jun,Drama,Vikram,AishwaryaRai,,MadrasTalkies,UA,A,5.4,Hit,7.9
35,KarthikSubbaraj,Penguin,Jun,Horror,,KreethySuresh,,KarthikSubbaraj,UA,B,4.7,Hit,6.7
36,Shankar,Enthiran,Oct,Sci-fi,Rajinikanth,AishwaryaRai,,SunPictures,UA,B,7.1,Hit,9.5
37,K.S.Ravikumar,Manmadhan Ambu,Dec,Drama,Kamal,Trisha,,RedGiantMovies,U,A,5.6,Flop,6.8
38,GVM,KaakhaKaakha,Aug,Thriller,Surya,Jyothika ,Manobala,SThanu,UA,B,8,Hit,8.2
39,Myshkin,Mugamoodi,Aug,Action,Jiiva,Pooja ,,UTVMotionPictures,U,A,4.9,Flop,5.1
40,Myshkin,Anjathe,Feb,Thriller,Prasanna,Vijayalakshmi,,NemichandJhabak,U,B,8.1,Hit,8.9
41,GVM,Minnale,Feb,Romance,Madhavan,Reema,Vivek,SunandaMuraliManohar,U,A,7.6,Hit,9.2
42,Myshkin,Pisasu,Dec,Horror,Naga,Prayaga Martin,,B-Studios,UA,A,7.6,Flop,8.8
43,A.R.Murugadoss,Darbar,Jan,Action,Rajinikanth,Nayanthara,YogiBabu,LycaProduction,U,B,6.2,Flop,7.3
44,Shankar,Indian,May,Action,Kamal,ManishaKoirala,,SriSuryaMovies,UA,B,8.1,Hit,9.1
45,K.Selvaraghavan,IrandamUlagam,Nov,Romance,Arya,Anushka,,PVPCinema,U,A,5.7,Flop,5.1
46,A.R.Murugadoss,Dheena,Jan,Action,Ajith,Laila,,VijayamCineCombines,U,B,7.2,Hit,7.9
47,Shankar,Robot 2.0,Nov,Sci-fi,Rajinikanth,AmyJackson,,LycaProduction,UA,B,6.5,Flop,7.9
48,Myshkin,Yutham Sei,Feb,Drama,Cheran,Ananyaa Sha,,AGSEntertainment,A,A,8,Hit,8.6
49,Myshkin,Thupparivaalan,Sep,Thriller,Vishal,AndreaJeremiah,,VishalFlimFactory,UA,A,7.5,Hit,8.1
50,Hari,Singam 3,Feb,Action,Surya,Anushka,Soori,StudioGreen ,U,B,6.3,Flop,7.2
51,Maniratnam,KannathilMauthamittal,Feb,Drama,Maadavan,Simran,,MadrasTalkies,UA,A,8.4,Hit,8.8
52,K.Selvaraghavan,7/G.RainbowColony,Oct,Drama,RaviKrishna,SoniaAgarwal,,SriSuryaMovies,U,A,7.8,Hit,8.2
53,Hari,Singam 2,Jul,Action,Surya,Anushka,Vivek,RelienceEntertainment,U,B,6.3,Hit,7.9
54,K.Selvaraghavan,KaadhalKonden,Jul,Drama,Dhanush,SoniaAgarwal,,R.K.Productions,U,A,7.9,Hit,7.6
55,Bala,Paradesi,Mar,Drama,Atharvaa,VedhikaKumar,,BStudios,UA,B,4.5,Hit,5.9
56,Shankar,Kadhalan,Sep,Romance,PrabhuDeva,Nagma,Vadivel,ARSFilm,UA,A,7.2,Flop,7.7
57,Maniratnam,Guru,Jan,Drama,AbhishekBachchan,AishwaryaRai,,MadrasTalkies,UA,B,7.7,Hit,7.8
58,Maniratnam,Kadal,Feb,Romance,GauthamKarthik,ThulasiNair,,MadrasTalkies,UA,A,5.4,Hit,7.8
59,K.S.Ravikumar,Varalaaru,Oct,Drama,Ajith,Asin,Manobala,NIC.Arts,UA,B,7.1,Hit,8.7
60,KarthikSubbaraj,Mercury,Apr,Thriller,PrabhuDeva,Indhuja,,PenIndia,UA,B,6.1,Flop,7.5
61,Myshkin,OnaayumAattukkuttiyum,Sep,Thriller,Sri,NeelimaRani,,LoneWolfProductions,UA,A,8.2,Hit,9
62,Siva,Siruthai,Jan,Action,Karthi,Tamannaah,Santhanam,StudioGreen ,UA,A,5.9,Hit,8.2
63,A.R.Murugadoss,7AumArivu,Oct,Sci-fi,Surya,ShrutiHaasan,,RedGiantMovies,U,A,6.2,Hit,8.3
